student_id,persona,age,sleep_hours,study_hours,exercise_days,social_hours,screen_time_hours,commute_minutes,part_time_hours,caffeine_intake,mindfulness_minutes,financial_stress_score,academic_pressure_score,family_support_score,peer_support_score,self_efficacy_score,weekly_meals,home_noise_score,internet_speed,assignment_load,class_attendance,sleep_quality_score,appetite_change,headaches_per_week,anxiety_score,depression_score,monthly_income,monthly_expenses,extracurricular_hours,course_difficulty,gpa,major,housing_type,relationship_status,transportation_mode,part_time_job,study_location,club_membership,diet_type,scholarship_status,social_media_minutes,gaming_hours,Stress_Level
STU-00027,Athlete,19,7.31,4.6,7.0,3.88,4.64,24.11,0.0,2.78,0.0,1.0,4.2,6.22,7.2,7.42,13,5,116,4.42,93,7,1,3,4,3,3126,300,1.38,4,3.02,Engineering,Apartment,Single,Bus,Yes,Cafe,No,Balanced,No,30,1.79,Low
STU-00028,Working Student,19,5.92,4.44,2.42,1.05,6.33,25.4,21.16,1.99,2.49,5.79,6.8,5.86,4.63,7.59,17,3,109,8.9,94,4,1,3,2,1,1362,1894,4.27,5,2.86,Business,Dorm,Single,Bus,Yes,Library,Yes,High Protein,No,37,0.0,Moderate
STU-00029,Working Student,20,6.83,4.49,2.78,1.51,5.93,43.74,15.12,2.62,10.26,5.42,5.16,3.34,4.9,6.03,12,3,104,6.93,90,9,1,4,3,5,1861,1311,0.52,6,2.42,Arts,Apartment,Single,Bus,Yes,Dorm Room,No,Balanced,No,91,3.8,High
STU-00030,Athlete,20,6.11,3.8,6.99,4.65,5.25,40.37,0.0,1.1,14.24,2.06,4.83,5.42,8.41,7.27,13,5,36,1.78,92,7,2,0,4,7,2542,1719,3.53,5,2.14,Biology,Family Home,Single,Car,No,Cafe,Yes,Balanced,No,157,3.36,Moderate
STU-00031,Struggling,23,4.0,2.62,0.46,2.8,5.52,34.04,12.26,4.62,4.39,7.56,5.91,5.67,2.89,3.57,14,1,96,9.35,71,4,2,3,1,1,2589,1789,5.41,9,3.43,Engineering,Family Home,Single,Bus,No,Library,Yes,High Protein,Yes,140,0.68,High
STU-00032,Topper,22,6.1,7.29,5.68,3.61,3.82,13.94,0.0,0.82,14.98,3.78,3.12,8.03,6.04,7.95,11,5,121,6.25,81,8,3,0,4,4,2300,1724,5.14,9,3.81,Business,Apartment,Single,Bus,No,Library,No,Fast Food,No,80,4.66,Moderate
STU-00033,Average,24,6.98,4.58,3.43,2.09,6.3,17.08,3.39,1.16,8.52,4.54,5.91,6.78,5.79,6.87,13,7,51,7.14,94,5,5,3,6,3,1604,1453,5.36,9,3.29,Nursing,Dorm,Single,Walk,No,Home,No,Balanced,No,134,1.85,High
STU-00034,Athlete,23,5.67,5.23,4.53,5.67,4.44,27.9,0.0,2.61,10.16,2.11,4.44,6.86,6.16,6.29,18,3,147,4.31,98,7,3,1,2,4,2690,1628,1.67,4,2.49,Arts,Dorm,In Relationship,Walk,Yes,Home,No,Balanced,Yes,97,5.07,Moderate
STU-00035,Social Butterfly,21,7.12,3.83,3.77,2.14,5.36,21.61,2.15,1.58,8.26,1.89,5.18,4.68,6.22,4.7,16,1,76,4.69,93,7,2,2,1,3,3598,1693,4.65,7,3.65,Psychology,Dorm,Single,Bike,No,Cafe,Yes,High Protein,No,106,1.66,Moderate
STU-00036,Topper,20,5.51,7.66,3.78,3.4,5.18,8.68,0.0,0.33,23.99,1.0,4.08,8.82,6.19,8.51,15,3,124,4.69,79,5,3,2,1,2,1276,1344,1.47,5,2.84,Psychology,Family Home,Single,Walk,No,Cafe,Yes,Balanced,No,50,2.29,Moderate
STU-00037,Average,20,6.77,4.78,1.2,2.31,5.03,29.26,0.0,1.91,19.14,3.27,6.26,5.16,5.64,4.09,7,5,65,4.91,74,4,2,1,5,4,2089,1767,7.97,4,3.17,Computer Science,Apartment,Single,Walk,No,Library,Yes,High Protein,Yes,137,1.55,High
STU-00038,Social Butterfly,22,8.83,2.67,3.16,3.06,5.64,20.42,6.29,2.66,13.15,5.2,2.79,7.91,6.29,7.6,10,2,94,5.48,86,8,0,3,4,3,476,1952,0.0,7,2.45,Business,Apartment,Single,Bus,Yes,Home,No,Fast Food,No,106,0.0,Moderate
STU-00039,Struggling,21,7.15,1.79,1.32,3.8,7.95,23.04,10.9,2.6,5.85,5.95,7.31,1.76,3.96,4.89,13,1,115,8.51,61,6,0,0,3,6,1224,2048,3.32,6,3.13,Business,Dorm,In Relationship,Bike,Yes,Cafe,Yes,Balanced,No,92,6.27,Moderate
STU-00040,Social Butterfly,20,6.61,2.01,3.06,7.05,4.5,22.34,7.07,1.45,8.51,1.0,6.37,5.86,4.48,6.36,12,2,105,3.76,91,4,1,4,6,3,954,1230,4.66,6,3.15,Engineering,Apartment,Single,Bike,No,Dorm Room,No,Fast Food,No,97,4.66,Moderate
STU-00041,Struggling,19,4.48,3.35,1.01,2.89,5.39,23.81,7.37,1.98,8.3,7.94,9.11,7.17,2.56,4.39,10,2,74,6.52,59,6,0,3,2,9,1394,1650,1.65,9,3.76,Arts,Apartment,In Relationship,Bus,Yes,Library,No,Vegetarian,Yes,161,4.18,High
STU-00042,Average,23,5.17,4.79,3.1,3.75,2.96,17.07,3.02,1.47,8.62,2.84,5.55,6.53,5.4,5.67,14,1,102,5.5,84,8,0,0,5,3,1953,1277,5.96,8,3.44,Computer Science,Family Home,Single,Car,No,Home,No,Balanced,Yes,67,1.59,High
STU-00043,Average,21,6.96,4.91,3.04,3.81,6.63,11.89,2.24,1.61,17.27,1.25,4.03,3.55,5.84,4.75,13,4,74,5.8,82,8,3,1,4,5,2154,622,5.94,4,3.91,Computer Science,Family Home,In Relationship,Walk,Yes,Dorm Room,No,Balanced,No,83,0.0,Moderate
STU-00044,Average,24,7.64,2.85,3.6,6.33,4.5,20.91,0.0,1.84,5.62,3.8,3.73,6.65,7.13,5.18,11,1,83,4.74,73,7,1,0,3,5,2343,1509,5.86,4,3.22,Psychology,Family Home,In Relationship,Car,Yes,Library,Yes,Fast Food,No,83,3.85,Moderate
STU-00045,Topper,23,5.65,8.38,2.92,1.45,3.62,9.86,0.0,1.51,4.25,1.93,4.16,8.55,4.88,9.43,14,1,73,3.96,82,7,0,0,3,1,1123,964,2.58,10,3.23,Engineering,Dorm,Single,Car,Yes,Dorm Room,Yes,Fast Food,No,130,0.85,Low
STU-00046,Struggling,21,5.21,2.9,1.06,2.8,6.09,26.93,10.42,4.47,0.98,8.15,5.51,4.3,5.69,4.94,15,2,91,7.65,61,6,2,1,2,1,2152,1982,5.01,8,3.24,Psychology,Apartment,Single,Bus,Yes,Library,No,Vegetarian,No,36,4.02,High
STU-00047,Working Student,22,4.79,6.13,2.66,2.49,7.21,36.91,17.86,1.27,10.33,7.06,6.42,3.89,4.96,5.51,10,1,104,2.1,80,6,4,1,5,3,1902,2116,3.48,8,2.7,Nursing,Dorm,Single,Walk,No,Dorm Room,Yes,Vegetarian,No,126,0.0,High
STU-00048,Topper,26,7.26,7.62,2.31,0.65,3.6,9.26,0.0,2.21,20.18,3.03,4.83,6.79,7.66,7.46,16,3,81,3.17,78,6,2,0,4,3,200,959,5.4,7,2.62,Engineering,Family Home,In Relationship,Car,No,Dorm Room,Yes,Fast Food,Yes,128,3.47,Moderate
STU-00049,Average,19,5.05,6.65,3.08,1.63,4.21,26.95,3.16,1.14,20.41,1.93,4.64,6.25,6.31,6.85,17,3,102,5.16,84,7,2,3,5,3,1072,1647,4.44,6,4.0,Business,Dorm,Single,Car,Yes,Home,Yes,High Protein,No,135,3.52,High
STU-00050,Average,20,8.66,5.27,2.01,3.16,3.96,28.43,2.91,1.71,11.62,4.6,4.58,4.71,6.09,6.98,15,2,107,4.53,80,5,4,2,5,6,4331,404,2.88,5,2.77,Psychology,Dorm,Single,Walk,No,Cafe,No,Balanced,No,247,2.42,Low
STU-00051,Working Student,21,5.7,3.44,4.01,3.1,6.17,23.83,13.0,2.04,8.69,3.33,6.2,5.02,4.54,4.54,12,3,92,6.91,87,6,1,2,5,2,2511,2286,7.34,9,2.77,Nursing,Apartment,Single,Bus,Yes,Cafe,Yes,Fast Food,Yes,54,2.42,High
STU-00052,Working Student,21,6.19,2.71,0.71,4.24,4.19,22.47,17.8,1.9,4.39,5.81,7.75,3.87,3.13,6.83,15,2,50,4.88,78,8,1,2,5,1,2730,772,5.23,6,3.74,Business,Family Home,In Relationship,Walk,No,Dorm Room,No,Balanced,Yes,30,1.18,High
STU-00053,Average,22,6.6,1.12,1.39,7.03,4.4,5.0,7.71,1.61,18.63,3.92,6.15,6.44,6.71,9.16,17,1,101,6.98,92,6,4,3,10,2,1343,1386,3.42,4,1.82,Engineering,Dorm,Single,Bike,No,Home,No,High Protein,No,202,2.1,High
STU-00054,Average,21,8.29,4.48,3.26,6.09,6.25,20.11,0.0,2.07,0.0,5.7,5.8,7.2,4.63,4.18,15,3,78,5.61,100,8,3,3,7,3,200,1468,6.29,4,3.11,Arts,Dorm,Single,Bus,Yes,Home,Yes,High Protein,No,129,2.58,High
STU-00055,Struggling,19,4.68,3.53,3.43,3.48,7.86,26.12,6.47,3.47,1.7,6.64,7.29,6.23,3.37,1.13,16,2,91,7.88,66,8,0,1,6,2,352,2068,6.97,6,2.22,Engineering,Dorm,Single,Bus,Yes,Library,No,Vegetarian,No,93,3.76,High
STU-00056,Struggling,22,4.22,1.19,1.63,1.65,3.32,24.64,6.4,4.33,0.0,4.84,8.51,5.9,2.91,3.48,16,1,43,7.61,82,6,2,3,9,2,1785,2875,1.15,8,2.69,Computer Science,Apartment,Single,Car,Yes,Home,No,Balanced,Yes,124,3.03,High
STU-00057,Working Student,26,5.5,3.45,2.77,3.4,4.66,30.16,20.71,1.09,6.36,6.44,7.5,4.15,2.59,3.11,10,1,86,4.22,72,5,1,3,5,3,1385,1297,5.22,7,2.75,Nursing,Apartment,Single,Bus,No,Home,Yes,Fast Food,No,114,1.79,High
STU-00058,Average,20,7.15,3.96,3.64,3.06,6.2,39.9,3.63,0.0,8.71,5.35,6.26,6.3,7.11,6.83,18,4,128,5.97,90,6,1,4,4,5,1911,1189,4.52,9,3.48,Computer Science,Apartment,Single,Car,Yes,Library,Yes,Balanced,No,116,1.33,High
STU-00059,Athlete,22,6.4,4.97,5.99,5.16,3.65,8.78,0.0,1.9,14.88,3.61,4.45,7.22,6.24,6.17,13,6,47,4.8,74,6,1,0,5,3,200,2188,7.66,9,3.38,Psychology,Family Home,In Relationship,Walk,Yes,Dorm Room,Yes,Balanced,No,256,3.15,High
STU-00060,Struggling,21,4.27,1.94,2.41,3.37,5.11,39.68,9.65,2.97,6.38,8.49,7.48,5.97,4.17,5.11,12,6,102,9.0,54,5,4,2,1,5,1311,2588,4.31,6,3.79,Computer Science,Family Home,Single,Car,Yes,Dorm Room,Yes,Balanced,No,30,0.78,High
STU-00061,Working Student,24,5.25,3.18,3.54,2.73,4.64,33.14,24.77,3.61,4.73,6.23,6.5,3.62,4.73,5.61,17,5,82,5.68,83,5,3,2,2,1,3102,1491,8.11,5,3.35,Computer Science,Dorm,Married,Walk,Yes,Library,No,High Protein,No,63,1.68,High
STU-00062,Average,20,5.36,4.29,2.93,3.6,4.7,19.82,2.03,2.22,20.62,2.8,6.18,5.71,6.28,8.24,16,1,101,7.1,82,8,1,0,4,1,1584,2501,0.3,4,2.68,Nursing,Apartment,In Relationship,Car,Yes,Dorm Room,Yes,High Protein,No,53,3.5,High
STU-00063,Struggling,21,4.0,3.33,1.31,1.95,7.32,29.25,5.44,2.44,5.2,7.17,7.56,5.46,2.5,4.53,18,1,94,7.18,65,5,2,4,1,1,628,2809,3.48,6,3.0,Engineering,Apartment,Single,Car,No,Cafe,No,Balanced,No,190,3.88,High
STU-00064,Social Butterfly,18,6.81,4.33,1.02,4.37,6.19,9.22,5.92,1.9,16.5,4.81,4.77,4.06,5.11,7.36,12,2,44,7.78,90,8,3,2,3,3,1415,3444,5.72,5,3.43,Arts,Dorm,Single,Walk,No,Library,Yes,Balanced,No,85,1.19,High
STU-00065,Social Butterfly,19,7.38,5.61,3.42,3.81,5.63,14.21,3.22,2.47,17.25,2.03,4.57,6.13,8.04,3.71,15,1,74,5.03,81,5,2,1,1,5,2478,2190,1.11,7,3.54,Psychology,Dorm,Single,Walk,Yes,Cafe,Yes,Balanced,Yes,178,0.21,Moderate
STU-00066,Social Butterfly,21,7.46,4.89,2.62,5.84,5.64,26.59,2.01,0.66,8.59,2.57,6.54,7.17,5.6,8.06,18,3,69,7.55,84,7,2,1,1,5,1095,3742,2.11,4,3.46,Engineering,Family Home,Single,Bus,No,Library,No,Balanced,Yes,41,1.03,Low
STU-00067,Average,22,7.1,6.17,2.8,4.66,5.56,21.27,2.81,1.3,7.09,4.13,5.49,5.2,4.94,4.63,17,3,68,6.55,80,4,3,1,3,3,2828,1614,1.86,7,2.96,Business,Family Home,Single,Bus,No,Cafe,No,Balanced,No,77,2.4,Moderate
STU-00068,Working Student,22,6.44,4.33,0.65,2.16,4.4,45.44,23.89,3.16,4.98,1.92,4.46,6.99,4.32,4.62,19,5,91,5.56,77,7,4,2,6,6,747,2128,3.85,1,2.14,Business,Dorm,Single,Walk,Yes,Cafe,No,Fast Food,No,122,0.0,High
STU-00069,Struggling,20,5.93,2.94,1.38,1.42,6.55,33.18,6.86,2.46,3.17,10.0,7.31,6.16,3.57,4.64,10,2,95,10.0,70,9,3,4,4,8,1363,1063,1.84,10,3.61,Nursing,Family Home,Single,Car,Yes,Home,No,Fast Food,No,104,3.33,High
STU-00070,Working Student,21,6.59,3.32,1.37,3.66,5.75,10.46,11.87,3.65,9.61,5.08,6.21,5.02,5.68,3.83,11,3,88,6.86,68,7,4,2,4,3,1049,1550,7.27,6,2.76,Computer Science,Dorm,Single,Walk,No,Dorm Room,No,Balanced,No,66,1.86,High
STU-00071,Average,20,5.96,4.42,4.1,4.5,7.72,21.53,3.13,1.6,13.54,4.15,8.09,4.99,6.92,6.47,9,4,122,4.39,84,3,0,3,3,1,2007,1234,3.46,7,2.62,Arts,Dorm,Married,Bike,Yes,Library,No,Balanced,No,200,0.82,High
STU-00072,Struggling,19,5.7,4.16,1.34,2.04,7.39,31.32,4.83,1.71,5.71,8.82,9.02,5.09,4.14,5.27,12,3,69,6.25,71,7,3,2,5,4,1762,1889,2.9,7,3.53,Computer Science,Dorm,Single,Walk,No,Dorm Room,Yes,Fast Food,No,109,7.46,High
STU-00073,Average,21,7.17,4.66,4.75,4.56,5.3,11.82,5.26,1.48,8.35,2.34,8.81,5.68,3.91,5.29,14,4,104,6.38,79,7,1,1,2,1,2758,2082,6.65,6,3.59,Engineering,Apartment,Married,Walk,No,Home,No,Balanced,No,161,0.0,Moderate
STU-00074,Athlete,18,5.06,3.81,6.3,2.27,4.47,35.59,0.0,1.23,18.15,2.37,4.17,7.71,5.9,8.24,15,2,102,4.58,93,5,2,2,6,1,2715,1926,1.6,8,4.0,Engineering,Family Home,Single,Bike,No,Library,Yes,Balanced,No,157,0.0,Moderate
STU-00075,Topper,22,6.66,7.56,4.54,3.96,5.11,8.79,0.0,0.4,20.08,2.86,5.78,7.4,5.49,5.88,17,3,119,4.94,82,8,1,2,3,7,1011,1364,4.74,4,3.37,Computer Science,Family Home,Single,Walk,No,Cafe,Yes,Vegetarian,Yes,109,1.32,Low
STU-00076,Average,17,5.89,4.32,4.72,5.35,4.39,31.74,1.78,2.51,3.85,5.11,5.11,4.77,5.52,6.56,13,4,75,6.31,87,6,1,2,5,7,2645,2283,11.29,7,3.44,Psychology,Apartment,Single,Bus,No,Library,No,Fast Food,Yes,110,0.79,High
STU-00077,Topper,20,7.12,7.89,4.27,3.37,4.79,18.51,0.0,0.82,18.15,2.45,2.94,6.52,6.57,7.16,13,4,63,2.88,88,8,4,3,1,3,2031,1724,5.69,4,3.23,Engineering,Family Home,In Relationship,Bus,Yes,Library,No,Vegetarian,No,130,1.9,Low
STU-00078,Average,21,5.47,4.84,2.49,4.65,5.14,17.7,0.0,0.27,8.5,3.49,4.87,6.75,5.44,4.95,13,3,98,7.94,79,6,3,2,3,1,1340,848,0.7,5,2.68,Engineering,Dorm,Single,Bus,Yes,Home,Yes,Vegetarian,No,183,0.0,Moderate
STU-00079,Working Student,20,7.14,4.59,1.96,0.09,2.87,36.55,16.21,0.78,8.26,6.48,7.44,5.19,6.27,5.61,14,5,66,10.0,81,7,3,4,6,1,3063,1361,4.74,4,3.46,Biology,Apartment,Single,Bus,No,Dorm Room,No,Balanced,No,100,1.24,High
STU-00080,Topper,17,7.49,9.52,4.01,4.9,3.35,19.89,0.0,0.84,24.18,2.64,3.5,5.42,4.84,8.09,20,5,43,6.85,96,4,2,3,5,1,2350,300,4.01,8,3.21,Biology,Dorm,In Relationship,Car,Yes,Dorm Room,Yes,Balanced,Yes,106,0.0,Low
STU-00081,Average,23,6.47,6.0,3.99,3.85,5.65,17.81,7.97,2.17,4.86,3.74,7.58,5.78,6.38,6.91,11,4,55,4.69,92,7,2,2,4,3,2391,1091,4.59,5,2.41,Business,Dorm,Single,Bus,Yes,Home,Yes,Fast Food,No,141,2.85,Moderate
STU-00082,Average,22,5.85,5.01,3.19,3.97,5.44,17.6,2.05,3.04,18.29,2.36,6.28,5.11,4.26,7.54,9,4,84,5.22,87,7,1,3,4,1,1647,2567,8.19,7,2.6,Computer Science,Dorm,Single,Walk,No,Dorm Room,Yes,Balanced,No,140,2.33,High
STU-00083,Average,25,6.56,4.73,3.14,7.25,3.87,21.83,1.6,1.11,11.7,5.52,7.76,6.54,5.31,9.44,13,2,46,7.31,91,10,0,3,4,5,317,2628,6.23,6,3.52,Engineering,Dorm,Single,Walk,Yes,Library,Yes,Fast Food,No,141,1.52,High
STU-00084,Working Student,23,5.75,6.43,2.05,1.48,6.77,42.57,21.63,3.31,5.39,6.1,6.21,3.19,4.48,7.34,15,1,51,8.5,77,5,2,0,7,3,3031,1636,7.64,6,3.63,Engineering,Dorm,Single,Car,No,Cafe,No,High Protein,No,94,2.57,High
STU-00085,Working Student,18,4.41,4.16,2.49,3.08,5.98,11.81,11.19,4.17,3.81,7.28,5.64,5.11,4.04,6.33,14,2,64,6.4,68,7,6,3,6,3,200,674,7.32,5,2.85,Computer Science,Family Home,Single,Car,No,Cafe,No,Balanced,No,109,3.07,High
STU-00086,Working Student,22,5.68,4.1,1.22,1.55,6.22,40.34,20.28,2.31,8.18,7.41,7.43,6.28,4.68,7.4,15,4,97,6.37,72,8,6,1,4,2,1361,2681,3.02,5,2.41,Arts,Apartment,In Relationship,Bus,No,Dorm Room,No,Balanced,No,103,0.86,High
STU-00087,Struggling,20,4.82,1.6,1.72,0.21,5.82,37.59,11.21,3.25,4.8,8.75,8.32,4.62,4.91,5.28,13,1,101,8.76,78,5,1,2,4,1,2138,303,2.42,8,4.0,Psychology,Dorm,Married,Walk,No,Dorm Room,Yes,High Protein,No,31,1.69,High
STU-00088,Social Butterfly,20,6.24,3.9,2.56,4.65,6.08,5.0,1.5,1.74,11.41,4.11,5.92,5.63,5.12,5.88,17,2,88,5.74,95,6,3,3,4,3,1504,1421,6.38,6,3.32,Psychology,Family Home,Single,Walk,No,Cafe,Yes,High Protein,No,101,1.69,Moderate
STU-00089,Topper,24,7.06,3.53,2.87,6.56,5.07,11.51,0.0,0.48,7.17,2.01,5.31,4.75,5.12,7.51,13,4,60,5.93,83,9,0,0,5,7,2084,1994,4.54,4,2.95,Computer Science,Dorm,Single,Bus,No,Library,Yes,Balanced,No,204,2.58,High
